LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z
A1-01(DOWN)-L-1320-1782-0,48,48,55,1320,1782,0
A1-01(UP)-L-1320-1782-60,48,48,55,1320,1782,60
A1-01(DOWN)-R-1140-1782-0,48,48,55,1140,1782,0
A1-01(UP)-R-1140-1782-60,48,48,55,1140,1782,60
A1-02(DOWN)-L-1320-1722-0,48,48,55,1320,1722,0
A1-02(UP)-L-1320-1722-60,48,48,55,1320,1722,60
A1-02(DOWN)-R-1140-1722-0,48,48,55,1140,1722,0
A1-02(UP)-R-1140-1722-60,48,48,55,1140,1722,60
A1-03(DOWN)-L-1320-1662-0,48,48,55,1320,1662,0
A1-03(UP)-L-1320-1662-60,48,48,55,1320,1662,60
A1-03(DOWN)-R-1140-1662-0,48,48,55,1140,1662,0
A1-03(UP)-R-1140-1662-60,48,48,55,1140,1662,60
A1-04(DOWN)-L-1320-1602-0,48,48,55,1320,1602,0
A1-04(UP)-L-1320-1602-60,48,48,55,1320,1602,60
A1-04(DOWN)-R-1140-1602-0,48,48,55,1140,1602,0
A1-04(UP)-R-1140-1602-60,48,48,55,1140,1602,60
A1-05(DOWN)-L-1320-1494-0,48,48,55,1320,1494,0
A1-05(UP)-L-1320-1494-60,48,48,55,1320,1494,60
A1-05(DOWN)-R-1140-1494-0,48,48,55,1140,1494,0
A1-05(UP)-R-1140-1494-60,48,48,55,1140,1494,60
A2-01(DOWN)-R-1368-1782-0,48,48,55,1368,1782,0
A2-01(UP)-R-1368-1782-60,48,48,55,1368,1782,60
A2-01(DOWN)-L-1548-1782-0,48,48,55,1548,1782,0
A2-01(UP)-L-1548-1782-60,48,48,55,1548,1782,60
A2-02(DOWN)-R-1368-1722-0,48,48,55,1368,1722,0
A2-02(UP)-R-1368-1722-60,48,48,55,1368,1722,60
A2-02(DOWN)-L-1548-1722-0,48,48,55,1548,1722,0
A2-02(UP)-L-1548-1722-60,48,48,55,1548,1722,60
A2-03(DOWN)-R-1368-1662-0,48,48,55,1368,1662,0
A2-03(UP)-R-1368-1662-60,48,48,55,1368,1662,60
A2-03(DOWN)-L-1548-1662-0,48,48,55,1548,1662,0
A2-03(UP)-L-1548-1662-60,48,48,55,1548,1662,60
A2-04(DOWN)-R-1368-1602-0,48,48,55,1368,1602,0
A2-04(UP)-R-1368-1602-60,48,48,55,1368,1602,60
A2-04(DOWN)-L-1548-1602-0,48,48,55,1548,1602,0
A2-04(UP)-L-1548-1602-60,48,48,55,1548,1602,60
A1-05(DOWN)-L-1368-1602-0,48,48,55,1368,1494,0
A1-05(UP)-L-1368-1602-60,48,48,55,1368,1494,60
A1-05(DOWN)-R-1548-1602-0,48,48,55,1548,1494,0
A1-05(UP)-R-1548-1602-60,48,48,55,1548,1494,60
